Autobuses del Norte,La Raza,975,Instituto del Petróleo,1067,,,,,,,,
Misterios,Valle Gómez,892,La Raza,975,,,,,,,,
Valle Gómez,Consulado,679,Misterios,892,,,,,,,,
Eduardo Molina,Aragón,860,Valle Gómez,679,,,,,,,,
Aragón,Oceanía,1219,Eduardo Molina,860,,,,,,,,
Oceanía,Terminal Aérea,1174,Aragón,1219,Romero Rubio,809,Deportivo Oceanía,863,,,,
Terminal Aérea,Hangares,1153,Oceanía,1174,,,,,,,,
Hangares,Pantitlán,1644,Terminal Aérea,1153,,,,,,,,
El Rosario,Tezozómoc,1257,Aquíles Serdán,1615,,,,,,,,
Tezozómoc,Azcapotzalco,973,El Rosario,1257,,,,,,,,
Azcapotzalco,Ferrería,1173,Tezozómoc,973,,,,,,,,
Ferrería,Norte 45,1072,Azcapotzalco,1173,,,,,,,,
Norte 45,Vallejo,660,Ferrería,1072,,,,,,,,
Vallejo,Instituto del Petróleo,755,Norte 45,660,,,,,,,,
Lindavista,Deportivo 18 de Marzo,1075,Vallejo,755,,,,,,,,
La Villa Basílica,Martín Carrera,1141,Deportivo 18 de Marzo,570,,,,,,,,
Aquíles Serdán,Camarones,1402,El Rosario,1615,,,,,,,,
Camarones,Refinería,952,Aquíles Serdán,1402,,,,,,,,
Refinería,Tacuba,1295,Camarones,952,,,,,,,,
San Joaquín,Polanco,1163,Tacuba,1433,,,,,,,,
Polanco,Auditorio,812,San Joaquín,1163,,,,,,,,
Auditorio,Constituyentes,1430,Polanco,812,,,,,,,,
Constituyentes,Tacubaya,1005,Auditorio,1430,,,,,,,,
San Pedro de los Pinos,San Antonio,606,Tacubaya,1084,,,,,,,,
San Antonio,Mixcoac,788,San Pedro de los Pinos,606,,,,,,,,
Mixcoac,Barranca del Muerto,1476,San Antonio,788,Insurgentes Sur,651,,,,,,
Barranca del Muerto,Mixcoac,1476,,,,,,,,,,
Garibaldi,Bellas Artes,634,Guerrero,757,Lagunilla,474,,,,,,
San Juan de Letrán,Salto del Agua,292,Bellas Artes,456,,,,,,,,
Doctores,Obrera,761,Salto del Agua,564,,,,,,,,
Obrera,Chabacano,1143,Doctores,761,,,,,,,,
La Viga,Santa Anita,633,Chabacano,843,,,,,,,,
Coyuya,Iztacalco,993,Santa Anita,968,,,,,,,,
Iztacalco,Apatlaco,910,Coyuya,993,,,,,,,,
Apatlaco,Aculco,534,Iztacalco,910,,,,,,,,
Aculco,Escuadrón 201,789,Apatlaco,534,,,,,,,,
Escuadrón 201,Atlalilco,1738,Aculco,789,,,,,,,,
Atlalilco,Iztapalapa,732,Escuadrón 201,1738,Mexicaltzingo,1922,Culhuacán,1671,,,,
Iztapalapa,Cerro de la Estrella,717,Atlalilco,732,,,,,,,,
Cerro de la Estrella,UAM I,1135,Iztapalapa,717,,,,,,,,
UAM I,Constitución de 1917,1137,Cerro de la Estrella,1135,,,,,,,,
Constitución de 1917,UAM I,1137,,,,,,,,,,
Puebla,Ciudad Deportiva,800,Pantitlán,1380,,,,,,,,
Ciudad Deportiva,Velódromo,1110,Puebla,800,,,,,,,,
Velódromo,Mixiuhca,821,Ciudad Deportiva,1110,,,,,,,,
Mixiuhca,Jamaica,942,Velódromo,821,,,,,,,,
Lázaro Cardenas,Centro Médico,1059,Chabacano,1000,,,,,,,,
Chilpancingo,Patriotismo,955,Centro Médico,1152,,,,,,,,
