Linea,Estacion,Promedio de Afluencia,Año,Periodo,Tipo de Afluencia
3,Universidad,"17,676",2020,ABR-JUN,Mayor
B,Buenavista,"17,621",2020,ABR-JUN,Mayor
1,Insurgentes,"16,665",2020,ABR-JUN,Mayor
1,Chapultepec,"16,218",2020,ABR-JUN,Mayor
9,Chilpancingo,"15,929",2020,ABR-JUN,Mayor
6,Deptvo. 18 de Marzo,486,2020,ABR-JUN,Menor
12,Tlaltenco,564,2020,ABR-JUN,Menor
7,Constituyentes,618,2020,ABR-JUN,Menor
2,Popotla,636,2020,ABR-JUN,Menor
5,Hangares,637,2020,ABR-JUN,Menor
5,Valle Gómez,679,2020,ABR-JUN,Menor
8,La Viga,695,2020,ABR-JUN,Menor
4,Santa Anita,783,2020,ABR-JUN,Menor
6,Tezozómoc,800,2020,ABR-JUN,Menor
4,Talismán,837,2020,ABR-JUN,Menor
4,Bondojito,935,2020,ABR-JUN,Menor
6,Inst. del Petróleo,941,2020,ABR-JUN,Menor
B,Romero Rubio,945,2020,ABR-JUN,Menor
4,Fray Servando,"1,02",2020,ABR-JUN,Menor
5,Eduardo Molina,"1,023",2020,ABR-JUN,Menor
5,Misterios,"1,068",2020,ABR-JUN,Menor
1,Juanacatlán,"1,069",2020,ABR-JUN,Menor
4,Canal del Norte,"1,172",2020,ABR-JUN,Menor
12,San Andrés Tomatlán,"1,217",2020,ABR-JUN,Menor
5,Aragón,"1,226",2020,ABR-JUN,Menor
A,Pantitlán,"81,591",2020,JUL-SEP,Mayor
3,Indios Verdes,"71,141",2020,JUL-SEP,Mayor
9,Pantitlán,"60,614",2020,JUL-SEP,Mayor
5,Pantitlán,"57,966",2020,JUL-SEP,Mayor
2,Cuatro Caminos,"54,741",2020,JUL-SEP,Mayor
8,Constitución de 1917,"47,877",2020,JUL-SEP,Mayor
1,Pantitlán,"38,054",2020,JUL-SEP,Mayor
12,Tláhuac,"36,483",2020,JUL-SEP,Mayor
1,Observatorio,"35,041",2020,JUL-SEP,Mayor
2,Tasqueña,"33,37",2020,JUL-SEP,Mayor
B,Ciudad Azteca,"32,365",2020,JUL-SEP,Mayor
B,Buenavista,"28,387",2020,JUL-SEP,Mayor
1,Zaragoza,"28,278",2020,JUL-SEP,Mayor
A,La Paz,"28,172",2020,JUL-SEP,Mayor
1,Insurgentes,"27,694",2020,JUL-SEP,Mayor
9,Tacubaya,"27,371",2020,JUL-SEP,Mayor
3,Universidad,"26,907",2020,JUL-SEP,Mayor
1,Candelaria,"26,349",2020,JUL-SEP,Mayor
1,Pino Suárez,"25,84",2020,JUL-SEP,Mayor
1,Chapultepec,"24,686",2020,JUL-SEP,Mayor
2,Allende *,395,2020,JUL-SEP,Menor
6,Deptvo. 18 de Marzo,659,2020,JUL-SEP,Menor
4,Santa Anita,970,2020,JUL-SEP,Menor
6,Inst. del Petróleo,"1,244",2020,JUL-SEP,Menor
4,Consulado,"1,835",2020,JUL-SEP,Menor
12,Tlaltenco,"2,004",2020,JUL-SEP,Menor
5,Hangares,"2,188",2020,JUL-SEP,Menor
5,Valle Gómez,"2,198",2020,JUL-SEP,Menor
8,Chabacano,"2,304",2020,JUL-SEP,Menor
B,Bosque de Aragón,"2,401",2020,JUL-SEP,Menor
7,Constituyentes,"2,434",2020,JUL-SEP,Menor
6,Tezozómoc,"2,484",2020,JUL-SEP,Menor
4,Talismán,"2,504",2020,JUL-SEP,Menor
9,Ciudad Deportiva,"2,758",2020,JUL-SEP,Menor
B,Garibaldi/Lagunilla,"2,89",2020,JUL-SEP,Menor
7,Tacubaya,"2,922",2020,JUL-SEP,Menor
4,Bondojito,"3,042",2020,JUL-SEP,Menor
4,Candelaria,"3,084",2020,JUL-SEP,Menor
4,Jamaica,"3,087",2020,JUL-SEP,Menor
5,Consulado,"3,114",2020,JUL-SEP,Menor
